State,County,Democratic,Republican,Party
VA,charlottesville city,17095.137571660867,7247.832102731294,1
VA,chesterfield,93275.76738973366,51435.873978046526,1
VA,colonial heights city,3952.4860596758044,4512.532606824989,0
VA,covington city,832.4224889512443,2299.530855857338,0
VA,craig,1131.7520750992335,2440.368563727141,0
VA,culpeper,6934.457634568193,8122.137562950997,0
VA,danville city,6237.997571787189,3410.6089171186213,1
VA,dickenson,1000.0101906234122,3114.4736582322003,0
VA,dinwiddie,3182.642738722574,3993.1219887065763,0
VA,emporia city,1113.5896452793095,1386.7577858959667,1
VA,essex,1999.2468312573947,2298.2926218642315,0
VA,fairfax,474627.2807021722,160344.70278512,1
VA,fluvanna,7527.513962251058,5643.307192510545,1
VA,franklin city,2133.234242380957,1639.9067307229998,1
VA,franklin,8679.359414746621,10630.908057998835,0
VA,frederick,17013.72864971563,16044.756976218177,0
VA,fredericksburg city,9625.012712427397,5351.048780886264,1
VA,galax city,923.8100046452855,2215.5861078547277,0
VA,goochland,6323.774176985022,4842.769560072877,0
VA,grayson,1487.4541086379322,3637.2326743095473,0
VA,greene,3777.7841498917005,4211.6315968284325,0
